hash,author,modules,lines_added,lines_deleted
00e49233a94b8945c205e55959900ac741f10766,Michael Paquier,['src'],1,1
dca20013ebab0f0176e610a36b846d899af1d451,Peter Eisentraut,['src'],19,19
89be0b89ae60c63856fd26d82a104781540e2312,Etsuro Fujita,['contrib'],7,4
94f9c087421ccda6a615df2dda6c40fb99570fa9,Bruce Momjian,['src'],1,1
c36b636096a1aac4fd5d7c8c5d11ed2bb6349d0f,Noah Misch,['src'],1,1
5dc456b7dda4f7d0d7735b066607c190c74d174a,Michael Paquier,['src'],15,14
5e0c761d0a13c7b4f7c5de618ac38560d74d74d0,Peter Eisentraut,['src'],6,1
4a8fef0d733965c1a1836022f8a42ab1e83a721f,Peter Eisentraut,['src'],2,2
a72d613b4c91462d9405c4e1b05c42d33013c333,Michael Paquier,['src'],26,1
f05b1fa1ff5b2133d636a427d00fe85eedad49b3,Michael Paquier,['src'],5,5
c2e08b04c9e71ac6aabdc7d9b3f8e785e164d770,Dean Rasheed,['src'],152,50
fdd79d8992d600d38eecfab568b27f6d04e4dfb3,David Rowley,['src'],1,1
0125c4e21d7e9c8b3da95ffcd3e34c0f61c9b69a,Masahiko Sawada,['src'],2,2
3845577cb55eab3e06b3724e307ebbcac31f4841,David Rowley,['src'],279,27
36ab831f9abc6f6b0ab74dd62e0faad75dbf42bf,Andres Freund,['src'],32,17
deae1657ee6dd6f7b3effab3d44429d5434f5bbf,David Rowley,['src'],2,1
39055cb4ccd5b521ceb802b6a8194de912a422cc,John Naylor,['src'],8,4
f1e9f6bbfa536992eac6c094882b3afcd9e90fb4,Michael Paquier,['src'],3,1
bf227926d22b5cffba4b6724df0eb239a7037cbd,Michael Paquier,['src'],31,1
b68e356a680ee1155b0dc612a89655e98320121a,Michael Paquier,['src'],5,3
38df84c65ea4aa9110cbc797d07225fb0fac44f7,Tom Lane,['src'],26,48
b635ac03e80237838bec8b224eb4dea97985fda3,David Rowley,['src'],2,3
f6a84546b1a0ae43c00a7f351bc45fbde342466a,Michael Paquier,['src'],6,1
bd88404d3cda53810e0b0144713c4b1a1dd965a8,Masahiko Sawada,['src'],1,1
62e9af4c63fbd36fb9af8450fb44bece76d7766f,Amit Kapila,['src'],1,1
d38ad8e31dee1a69f4f6d4b6bb4e007e3751a93c,Amit Kapila,['src'],12,5
f3bc5192889f6f02aa10ca9f24df4eab1f1493c1,Andres Freund,['src'],1,1
bda97e47afaeaab6236f37993ce45bb369add3e5,Tom Lane,['src'],8,7
3c90dcd039149716454378bd270673f781b5c19f,Tom Lane,['src'],75,12
97ff8dd02ca788020021cdafb85d77d4fd3f3125,Michael Paquier,['src'],14,9
40fad96530caf190a3babf322ca705e744c393bb,Daniel Gustafsson,['src'],600,556
47556a0013fa64d44add2760577d49cf2eca4cd0,Michael Paquier,['src'],44,12
137b131d6fbd29b4acf740aba3f74220faef2678,Tom Lane,['doc'],33,15
4e465aac36ce9a9533c68dbdc83e67579880e628,Michael Paquier,['src'],5,5
cb0cca1880723b4c90c56cdcf3842489ef036800,Michael Paquier,['src'],33,0
b8d3dae00f6c49d0c41abd5b36e2588a81abe5be,Tom Lane,['src'],6,0
a0363ab7aafda7d16ae59e72d86866c02ad3d657,Nathan Bossart,"['doc', 'src']",10,23
38ea6aa90e615fc91c138fc1efbc981ef3b434f8,Michael Paquier,['src'],117,4
328f492d2565cfbe383f13a69425d751fd79415f,Amit Langote,['src'],4,3
e1c83e7b964f45aa39818134f8a2d46f2d03a38d,Peter Eisentraut,['src'],12,32
a44d96add2eb377ab70055a54b713c5c78380383,Peter Eisentraut,['src'],1,1
bd5ddbe8666a11e34ba77e4c1788c4832dcd9a50,Michael Paquier,['src'],79,7
e9f15bc9db7564a29460d089c0917590bc13fffc,Andrew Dunstan,['src'],6,2
6ee01e25b7f79bdf835d12927b306ad922c55fd3,Peter Eisentraut,['src'],1,1
da98d005cdbcd45af563d0c4ac86d0e9772cd15f,Michael Paquier,"['configure.ac', 'meson.build', 'configure']",3,4
f0a94d81e4f7d3402d4b3a6b05b7b749ff23fe54,Andres Freund,['src'],2,2
69a674a170058e63e8178aec8a36a673efce8801,Amit Kapila,['src'],4,4
4f4d73466d71976b58f29121bab9d9fef6f3436e,Heikki Linnakangas,['src'],2,0
68a59f9e99831cf05a746928a955781503232bbb,Masahiko Sawada,['src'],26,6
48efb2302bea3b2af8b4bb865edcc70132ee4250,Daniel Gustafsson,['src'],5,1
44e73a498c5f3ad7e39dc70821c2d8316d3207f2,Michael Paquier,['contrib'],28,15
126552c85c1cfb6ce6445159b8024cfa5631f33e,Thomas Munro,['src'],10,3
bcc93a389ce3862c9a15ae2f079d87bbc6a2228f,Thomas Munro,['src'],4,2
f9b7fc651a99ea518650d8aca661652136b249fc,Thomas Munro,['src'],26,13
a4cfeeca5a97f2b5969c31aa69ba775af95ee5a3,Tomas Vondra,['src'],9,9
4637a6ac0b40fef701ab850de1be547b927c3013,Thomas Munro,['src'],4,8
ce5aaea8cd32b88451914356989f0f4ecb9e4482,Tomas Vondra,['src'],32,1
98640f960eb9ed80cf90de3ef5d2e829b785b3eb,Tomas Vondra,['src'],0,7
01d56eecee4cfa0f796c4ee3e2e0ac615b9350bb,Noah Misch,['contrib'],12,3
cfc43aeb3810ebaa8dbda4807046a4c953d9e992,Michael Paquier,['src'],85,7
97d89101045fac8cb36f4ef6c08526ea0841a596,Michael Paquier,['src'],76,0
43af714defa00145981eb542cb71647836b3efa4,Tom Lane,['src'],31,12
b750e74e6ec324f4c9de82587cb6a07490f86cfe,Peter Eisentraut,['meson.build'],1,1
